2022-01-26 16:03:30 status unpacked libmailutils5:amd64 1:3.5-4
2022-01-26 16:03:30 status half-configured libmailutils5:amd64 1:3.5-4
2022-01-26 16:03:30 status installed libmailutils5:amd64 1:3.5-4
2022-01-26 16:03:30 configure mailutils:amd64 1:3.5-4 <none>
2022-01-26 16:03:30 status unpacked mailutils:amd64 1:3.5-4
2022-01-26 16:03:30 status half-configured mailutils:amd64 1:3.5-4
2022-01-26 16:03:30 status installed mailutils:amd64 1:3.5-4
2022-01-26 16:03:30 trigproc man-db:amd64 2.8.5-2 <none>
2022-01-26 16:03:30 status half-configured man-db:amd64 2.8.5-2
2022-01-26 16:03:30 status installed man-db:amd64 2.8.5-2
2022-01-26 16:03:30 trigproc libc-bin:amd64 2.28-10 <none>
2022-01-26 16:03:30 status half-configured libc-bin:amd64 2.28-10
2022-01-26 16:03:30 status installed libc-bin:amd64 2.28-10
2022-01-26 17:26:08 startup packages remove
2022-01-26 17:26:08 status installed sensible-mda:amd64 8.15.2-14~deb10u1
2022-01-26 17:26:08 remove sensible-mda:amd64 8.15.2-14~deb10u1 <none>
2022-01-26 17:26:08 status half-configured sensible-mda:amd64 8.15.2-14~deb10u1
2022-01-26 17:26:08 status half-installed sensible-mda:amd64 8.15.2-14~deb10u1
2022-01-26 17:26:08 status triggers-pending man-db:amd64 2.8.5-2
2022-01-26 17:26:08 status config-files sensible-mda:amd64 8.15.2-14~deb10u1
2022-01-26 17:26:08 status not-installed sensible-mda:amd64 <none>
2022-01-26 17:26:08 status installed postfix:amd64 3.4.14-0+deb10u1
2022-01-26 17:26:08 remove postfix:amd64 3.4.14-0+deb10u1 <none>
2022-01-26 17:26:08 status half-configured postfix:amd64 3.4.14-0+deb10u1
2022-01-26 17:26:08 status half-installed postfix:amd64 3.4.14-0+deb10u1
2022-01-26 17:26:09 status config-files postfix:amd64 3.4.14-0+deb10u1
2022-01-26 17:26:09 startup packages configure
2022-01-26 17:26:09 trigproc man-db:amd64 2.8.5-2 <none>
2022-01-26 17:26:09 status half-configured man-db:amd64 2.8.5-2
2022-01-26 17:26:09 status installed man-db:amd64 2.8.5-2
2022-01-26 17:26:09 startup packages purge
2022-01-26 17:26:09 purge postfix:amd64 3.4.14-0+deb10u1 <none>
2022-01-26 17:26:09 status config-files postfix:amd64 3.4.14-0+deb10u1
2022-01-26 17:26:09 status triggers-pending systemd:amd64 241-7~deb10u8
2022-01-26 17:26:09 status triggers-pending rsyslog:amd64 8.1901.0-1
2022-01-26 17:26:10 status not-installed postfix:amd64 <none>
2022-01-26 17:26:10 startup packages configure
2022-01-26 17:26:10 trigproc systemd:amd64 241-7~deb10u8 <none>
2022-01-26 17:26:10 status half-configured systemd:amd64 241-7~deb10u8
2022-01-26 17:26:11 status installed systemd:amd64 241-7~deb10u8
2022-01-26 17:26:11 trigproc rsyslog:amd64 8.1901.0-1 <none>
2022-01-26 17:26:11 status half-configured rsyslog:amd64 8.1901.0-1
2022-01-26 17:26:11 status installed rsyslog:amd64 8.1901.0-1
2022-01-26 17:26:25 startup packages remove
2022-01-26 17:26:25 status installed sendmail-base:all 8.15.2-14~deb10u1
2022-01-26 17:26:25 remove sendmail-base:all 8.15.2-14~deb10u1 <none>
2022-01-26 17:26:25 status half-configured sendmail-base:all 8.15.2-14~deb10u1
2022-01-26 17:26:25 status half-installed sendmail-base:all 8.15.2-14~deb10u1
2022-01-26 17:26:25 status triggers-pending man-db:amd64 2.8.5-2
2022-01-26 17:26:26 status config-files sendmail-base:all 8.15.2-14~deb10u1
2022-01-26 17:26:26 status installed lockfile-progs:amd64 0.1.18
2022-01-26 17:26:26 remove lockfile-progs:amd64 0.1.18 <none>
2022-01-26 17:26:26 status half-configured lockfile-progs:amd64 0.1.18
2022-01-26 17:26:26 status half-installed lockfile-progs:amd64 0.1.18
2022-01-26 17:26:26 status config-files lockfile-progs:amd64 0.1.18
2022-01-26 17:26:26 status not-installed lockfile-progs:amd64 <none>
2022-01-26 17:26:26 status installed liblockfile1:amd64 1.14-1.1
2022-01-26 17:26:26 remove liblockfile1:amd64 1.14-1.1 <none>
2022-01-26 17:26:26 status triggers-pending libc-bin:amd64 2.28-10
2022-01-26 17:26:26 status half-configured liblockfile1:amd64 1.14-1.1
2022-01-26 17:26:26 status half-installed liblockfile1:amd64 1.14-1.1
2022-01-26 17:26:26 status config-files liblockfile1:amd64 1.14-1.1
2022-01-26 17:26:26 status not-installed liblockfile1:amd64 <none>
2022-01-26 17:26:26 status installed sendmail-cf:all 8.15.2-14~deb10u1
2022-01-26 17:26:26 remove sendmail-cf:all 8.15.2-14~deb10u1 <none>
2022-01-26 17:26:26 status half-configured sendmail-cf:all 8.15.2-14~deb10u1
2022-01-26 17:26:26 status half-installed sendmail-cf:all 8.15.2-14~deb10u1
2022-01-26 17:26:26 status config-files sendmail-cf:all 8.15.2-14~deb10u1
2022-01-26 17:26:26 status installed m4:amd64 1.4.18-2
2022-01-26 17:26:26 remove m4:amd64 1.4.18-2 <none>
2022-01-26 17:26:26 status half-configured m4:amd64 1.4.18-2
2022-01-26 17:26:26 status half-installed m4:amd64 1.4.18-2
2022-01-26 17:26:26 status config-files m4:amd64 1.4.18-2
2022-01-26 17:26:26 status not-installed m4:amd64 <none>
2022-01-26 17:26:26 status installed libsigsegv2:amd64 2.12-2
2022-01-26 17:26:26 remove libsigsegv2:amd64 2.12-2 <none>
2022-01-26 17:26:26 status half-configured libsigsegv2:amd64 2.12-2
2022-01-26 17:26:26 status half-installed libsigsegv2:amd64 2.12-2
2022-01-26 17:26:26 status config-files libsigsegv2:amd64 2.12-2
2022-01-26 17:26:26 status not-installed libsigsegv2:amd64 <none>
2022-01-26 17:26:26 status installed procmail:amd64 3.22-26
2022-01-26 17:26:26 remove procmail:amd64 3.22-26 <none>
2022-01-26 17:26:26 status half-configured procmail:amd64 3.22-26
2022-01-26 17:26:26 status half-installed procmail:amd64 3.22-26
2022-01-26 17:26:26 status config-files procmail:amd64 3.22-26
2022-01-26 17:26:26 status not-installed procmail:amd64 <none>
2022-01-26 17:26:26 status installed ssl-cert:all 1.0.39
2022-01-26 17:26:26 remove ssl-cert:all 1.0.39 <none>
2022-01-26 17:26:26 status half-configured ssl-cert:all 1.0.39
2022-01-26 17:26:26 status half-installed ssl-cert:all 1.0.39
2022-01-26 17:26:26 status config-files ssl-cert:all 1.0.39
2022-01-26 17:26:26 startup packages configure
2022-01-26 17:26:26 trigproc man-db:amd64 2.8.5-2 <none>
2022-01-26 17:26:26 status half-configured man-db:amd64 2.8.5-2
2022-01-26 17:26:27 status installed man-db:amd64 2.8.5-2
2022-01-26 17:26:27 trigproc libc-bin:amd64 2.28-10 <none>
2022-01-26 17:26:27 status half-configured libc-bin:amd64 2.28-10
2022-01-26 17:26:27 status installed libc-bin:amd64 2.28-10
2022-01-26 17:36:49 startup archives unpack
2022-01-26 17:36:49 install ssl-cert:all 1.0.39 1.0.39
2022-01-26 17:36:49 status half-installed ssl-cert:all 1.0.39
2022-01-26 17:36:49 status triggers-pending man-db:amd64 2.8.5-2
2022-01-26 17:36:49 status unpacked ssl-cert:all 1.0.39
2022-01-26 17:36:49 install postfix:amd64 <none> 3.4.14-0+deb10u1
2022-01-26 17:36:49 status half-installed postfix:amd64 3.4.14-0+deb10u1
